cluster,ego_id,model,mean_diff,std_diff,n_replications
holes_cluster,d36b403636c4ec24559656e9794e3336,gen_ftr1,0.17501590532155697,0.03035848048023456,
holes_cluster,d36b403636c4ec24559656e9794e3336,gen_f3ccr1,0.17330005098808596,0.02306364346672745,
holes_cluster,d36b403636c4ec24559656e9794e3336,gen_no_constraint,0.19061307737231978,0.028519594558853424,
holes_cluster,d36b403636c4ec24559656e9794e3336,gen_jdm,0.153727607562671,0.017866943754127874,
holes_cluster,dc008b46d74bb5b5918e33e823b2fec2,gen_ftr1,0.16565178250558873,0.024698851648272006,
holes_cluster,dc008b46d74bb5b5918e33e823b2fec2,gen_f3ccr1,0.15146686822724886,0.02473079933754761,
holes_cluster,dc008b46d74bb5b5918e33e823b2fec2,gen_no_constraint,0.15426104939210478,0.019538021506298377,
holes_cluster,dc008b46d74bb5b5918e33e823b2fec2,gen_jdm,0.14806838098144326,0.021258269760896467,
holes_cluster,f29e88184278752bf4ab67ec7805a19f,gen_ftr1,0.10678396358543417,0.027188542566115362,
holes_cluster,f29e88184278752bf4ab67ec7805a19f,gen_f3ccr1,0.09763071895424837,0.03106440042452176,
holes_cluster,f29e88184278752bf4ab67ec7805a19f,gen_no_constraint,0.1450280112044818,0.034209074705776346,
holes_cluster,f29e88184278752bf4ab67ec7805a19f,gen_jdm,0.03586601307189542,0.01664272036612447,
sparse_cluster,2985e60bb9187fbc99f561de2b448c06,gen_ftr1,0.24916900093370686,0.050932268721801184,
sparse_cluster,2c887e045bff82c9b5f3b4e70b0208ab,gen_ftr1,0.3612035663938779,0.09495718142391081,
sparse_cluster,70490b40b5043f8e3df000f6d85bd0c5,gen_ftr1,0.37807043964539216,0.05143153050641834,
sparse_cluster,70490b40b5043f8e3df000f6d85bd0c5,gen_f3ccr1,0.41034456793470075,0.024534245421233312,
sparse_cluster,70490b40b5043f8e3df000f6d85bd0c5,gen_no_constraint,0.4327454996335452,0.05127121858111622,
sparse_cluster,70490b40b5043f8e3df000f6d85bd0c5,gen_jdm,0.37156561549350925,0.03790958637522101,
sparse_cluster,70df59832ed02d62d14a2b2bd6aa87c8,gen_ftr1,0.4462050076367501,0.033686461319840794,
sparse_cluster,70df59832ed02d62d14a2b2bd6aa87c8,gen_f3ccr1,0.4887288401161875,0.02057665631277756,
sparse_cluster,70df59832ed02d62d14a2b2bd6aa87c8,gen_no_constraint,0.48829457836117107,0.030759302426809562,
sparse_cluster,70df59832ed02d62d14a2b2bd6aa87c8,gen_jdm,0.4510568931212659,0.018686035975892624,
sparse_cluster,75e28fe53f43a8e136246f7374c61ebc,gen_ftr1,0.214818149482015,0.07519673650851436,
sparse_cluster,76b10a5030ec483ba6cea4b87cd1b9c3,gen_ftr1,0.3644686183063032,0.0391244460205528,
